Site,Metrique,Periode,R2025,R2026,B2026
Le Havre,Maint_courante,S1,-140856.65,-221851.84,-200797.42410597
Le Havre,Maint_oblig,S1,,,
Le Havre,Traitement_sp,S1,-36270.89,-31630.72,-33576.6
Le Havre,Autres_couts,S1,-645060.2999999999,-590424.87,-587729.3703150799
Sevran,CA,Q1,1310563.55,1026515.49,1223786.12
Sevran,PNE,Q1,1226455.67,953894.6900000004,1162457.12
Sevran,Marge_brute,Q1,-92140.45000000019,-143926.34000000008,95910.23889994016
Sevran,EBITDA,Q1,-262063.4500000001,-317212.3399999996,-77375.7611000599
Sevran,EBIT,Q1,-266306.9500000001,-323705.3399999996,-81817.61879797356
Sevran,Personnel,Q1,-709129.55,-539650.7300000001,-685690.1254308565
Sevran,Energie,Q1,-160684.14,-80375.24,-60552.99
Sevran,Maint_courante,Q1,-90479.30000000002,-74612.73000000001,-44575.33789701033
Sevran,Maint_oblig,Q1,-162935.52,-244974.06,-78834.0
Sevran,Traitement_sp,Q1,4.547473508864641e-13,1.5,0.0
Sevran,Autres_couts,Q1,-189661.42,-149784.21,-194594.447772193
Sevran,CA,Q2,1382279.97,1290411.8099999998,1287699.38
Sevran,PNE,Q2,1314738.12,1247586.3000000007,1216637.38
Sevran,Marge_brute,Q2,243919.34000000008,77453.85999999964,72389.13308872562
Sevran,EBITDA,Q2,73996.3399999993,-95832.13999999949,-100896.86691127531
Sevran,EBIT,Q2,69629.83999999933,-91359.13999999949,-105815.42801705803
Sevran,Personnel,Q2,-725597.3699999999,-713513.9699999999,-779290.1274213545
Sevran,Energie,Q2,-35991.159999999974,8638.520000000004,-41346.99
Sevran,Maint_courante,Q2,-59871.02999999997,-71907.09,-44902.87886760099
Sevran,Maint_oblig,Q2,-118535.1099999999,-233759.06,-78834.0
Sevran,Traitement_sp,Q2,-9.094947017729282e-13,-137.03,0.0
Sevran,Autres_couts,Q2,-129170.79999999996,-157300.24000000002,-197574.2706223193
Sevran,CA,S1,2692843.52,2316927.3,2511485.5
Sevran,PNE,S1,2541193.79,2201480.990000001,2379094.5
Sevran,Marge_brute,S1,151778.89000000013,-66472.48000000045,168299.37198866578
Sevran,EBITDA,S1,-188067.1100000008,-413044.4799999991,-178272.6280113352
Sevran,EBIT,S1,-196677.1100000008,-415064.4799999991,-187633.0468150316
Sevran,Personnel,S1,-1434726.92,-1253164.7,-1464980.252852211
Sevran,Energie,S1,-196675.3,-71736.72,-101899.98
Sevran,Maint_courante,S1,-150350.33,-146519.82,-89478.21676461132
Sevran,Maint_oblig,S1,-281470.6299999999,-478733.12,-157668.0
Sevran,Traitement_sp,S1,-4.547473508864641e-13,-135.53,0.0
Sevran,Autres_couts,S1,-318832.22,-307084.45,-392168.7183945123
Chézy,CA,Q1,682303.8,689187.86,363970.46
Chézy,PNE,Q1,657667.72,655941.96,358504.39
Chézy,Marge_brute,Q1,78802.69999999984,121972.53000000003,-65618.02785730181
Chézy,EBITDA,Q1,5150.939999999944,114867.67,-73598.02785730198
Chézy,EBIT,Q1,-7194.920000000071,109171.23,-79931.31051113378
Chézy,Personnel,Q1,-261560.61,-317246.48,-237855.3798925837
Chézy,Energie,Q1,-128906.94,-54716.15000000002,-49043.73
Chézy,Maint_courante,Q1,-56150.97,-28644.28,-23429.92
Chézy,Maint_oblig,Q1,-53172.72,-73614.93999999999,-36404.48
Chézy,Traitement_sp,Q1,-102.0,0.0,-138.18
Chézy,Autres_couts,Q1,-77271.26,-56760.97000000001,-76692.38796471822
Chézy,CA,Q2,383390.42999999993,537424.2000000001,0.0
Chézy,PNE,Q2,354920.31000000006,505025.40000000014,-5466.070000000007
Chézy,Marge_brute,Q2,-135865.6699999998,-77305.31999999989,-64145.77000000007
Chézy,EBITDA,Q2,-211192.00000000035,-84378.08000000026,-72125.77000000012
Chézy,EBIT,Q2,-221352.94000000032,-87624.00000000026,-74375.55273980013
