Site,Code,Annee,Metrique,Valeur_EUR_t
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2023,VE000001 - Chiffre d'affaires,143.0
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2024,VE000001 - Chiffre d'affaires,137.76
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2025,VE000001 - Chiffre d'affaires,159.99
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2023,VE000001 - Chiffre d'affaires,156.76
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2024,VE000001 - Chiffre d'affaires,181.26
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2025,VE000001 - Chiffre d'affaires,185.67
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2023,VE000001 - Chiffre d'affaires,201.82
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2024,VE000001 - Chiffre d'affaires,211.42
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2025,VE000001 - Chiffre d'affaires,201.75
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2023,VE000001 - Chiffre d'affaires,246.02
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2024,VE000001 - Chiffre d'affaires,83.18
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2025,VE000001 - Chiffre d'affaires,115.61
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2023,VE000002 - Prestations de service (hors Energie et Utilités),187.45
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2024,VE000002 - Prestations de service (hors Energie et Utilités),186.49
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2025,VE000002 - Prestations de service (hors Energie et Utilités),190.3
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2023,VE000002 - Prestations de service (hors Energie et Utilités),211.75
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2024,VE000002 - Prestations de service (hors Energie et Utilités),203.74
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2025,VE000002 - Prestations de service (hors Energie et Utilités),204.18
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2023,VE000002 - Prestations de service (hors Energie et Utilités),248.94
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2024,VE000002 - Prestations de service (hors Energie et Utilités),260.29
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2025,VE000002 - Prestations de service (hors Energie et Utilités),265.37
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2023,VE000002 - Prestations de service (hors Energie et Utilités),163.73
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2024,VE000002 - Prestations de service (hors Energie et Utilités),182.95
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2025,VE000002 - Prestations de service (hors Energie et Utilités),184.59
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2023,VE000002 - Prestations de service (hors Energie et Utilités),234.34
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2024,VE000002 - Prestations de service (hors Energie et Utilités),234.1
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2025,VE000002 - Prestations de service (hors Energie et Utilités),236.94
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2023,VE000002 - Prestations de service (hors Energie et Utilités),0.0
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2024,VE000002 - Prestations de service (hors Energie et Utilités),269.68
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2025,VE000002 - Prestations de service (hors Energie et Utilités),280.1
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2023,VE000002 - Prestations de service (hors Energie et Utilités),81.63
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2024,VE000002 - Prestations de service (hors Energie et Utilités),100.53
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2025,VE000002 - Prestations de service (hors Energie et Utilités),92.38
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2023,VE000002 - Prestations de service (hors Energie et Utilités),139.96
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2024,VE000002 - Prestations de service (hors Energie et Utilités),136.68
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2025,VE000002 - Prestations de service (hors Energie et Utilités),159.7
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2023,VE000002 - Prestations de service (hors Energie et Utilités),156.79
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2024,VE000002 - Prestations de service (hors Energie et Utilités),181.2
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2025,VE000002 - Prestations de service (hors Energie et Utilités),185.62
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2023,VE000002 - Prestations de service (hors Energie et Utilités),201.82
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2024,VE000002 - Prestations de service (hors Energie et Utilités),211.42
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2025,VE000002 - Prestations de service (hors Energie et Utilités),201.73
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2023,VE000002 - Prestations de service (hors Energie et Utilités),56.82
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2024,VE000002 - Prestations de service (hors Energie et Utilités),45.95
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2025,VE000002 - Prestations de service (hors Energie et Utilités),64.0
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2023,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2024,VE000015 - Ventes matières recyclées & matériaux bruts,0.52
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2025,VE000015 - Ventes matières recyclées & matériaux bruts,0.19
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2023,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2024,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2025,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2023,VE000015 - Ventes matières recyclées & matériaux bruts,10.98
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2024,VE000015 - Ventes matières recyclées & matériaux bruts,4.19
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2025,VE000015 - Ventes matières recyclées & matériaux bruts,1.66
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2023,VE000015 - Ventes matières recyclées & matériaux bruts,0.12
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2024,VE000015 - Ventes matières recyclées & matériaux bruts,-0.12
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2025,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2023,VE000015 - Ventes matières recyclées & matériaux bruts,13.71
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2024,VE000015 - Ventes matières recyclées & matériaux bruts,13.94
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2025,VE000015 - Ventes matières recyclées & matériaux bruts,10.94
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2023,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2024,VE000015 - Ventes matières recyclées & matériaux bruts,0.58
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2025,VE000015 - Ventes matières recyclées & matériaux bruts,0.37
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2023,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2024,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2025,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2023,VE000015 - Ventes matières recyclées & matériaux bruts,0.03
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2024,VE000015 - Ventes matières recyclées & matériaux bruts,0.26
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2025,VE000015 - Ventes matières recyclées & matériaux bruts,0.16
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2023,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2024,VE000015 - Ventes matières recyclées & matériaux bruts,0.06
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2025,VE000015 - Ventes matières recyclées & matériaux bruts,0.05
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2023,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2024,VE000015 - Ventes matières recyclées & matériaux bruts,0.0
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2025,VE000015 - Ventes matières recyclées & matériaux bruts,0.02
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2023,VE000015 - Ventes matières recyclées & matériaux bruts,42.84
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2024,VE000015 - Ventes matières recyclées & matériaux bruts,64.01
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2025,VE000015 - Ventes matières recyclées & matériaux bruts,51.61
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2023,VE000024 - Revenus des Travaux,0.33
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2024,VE000024 - Revenus des Travaux,0.0
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2025,VE000024 - Revenus des Travaux,0.0
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2023,VE000024 - Revenus des Travaux,7.2
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2024,VE000024 - Revenus des Travaux,1.38
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2025,VE000024 - Revenus des Travaux,17.25
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2023,VE000024 - Revenus des Travaux,0.0
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2024,VE000024 - Revenus des Travaux,0.0
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2025,VE000024 - Revenus des Travaux,0.0
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2023,VE000024 - Revenus des Travaux,0.0
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2024,VE000024 - Revenus des Travaux,0.0
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2025,VE000024 - Revenus des Travaux,0.0
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2023,VE000024 - Revenus des Travaux,0.0
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2024,VE000024 - Revenus des Travaux,0.0
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2025,VE000024 - Revenus des Travaux,0.0
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2023,VE000024 - Revenus des Travaux,
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2024,VE000024 - Revenus des Travaux,0.0
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2025,VE000024 - Revenus des Travaux,0.0
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2023,VE000024 - Revenus des Travaux,0.0
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2024,VE000024 - Revenus des Travaux,0.0
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2025,VE000024 - Revenus des Travaux,0.0
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2023,VE000024 - Revenus des Travaux,3.01
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2024,VE000024 - Revenus des Travaux,0.82
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2025,VE000024 - Revenus des Travaux,0.13
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2023,VE000024 - Revenus des Travaux,-0.02
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2024,VE000024 - Revenus des Travaux,0.0
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2025,VE000024 - Revenus des Travaux,0.0
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2023,VE000024 - Revenus des Travaux,0.0
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2024,VE000024 - Revenus des Travaux,0.0
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2025,VE000024 - Revenus des Travaux,0.0
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2023,VE000024 - Revenus des Travaux,146.36
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2024,VE000024 - Revenus des Travaux,-26.78
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2025,VE000024 - Revenus des Travaux,0.0
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2023,VE000035 - Produits perçus pour le compte de tiers - Revenus,1.79
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2024,VE000035 - Produits perçus pour le compte de tiers - Revenus,1.4
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2025,VE000035 - Produits perçus pour le compte de tiers - Revenus,1.62
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2023,VE000035 - Produits perçus pour le compte de tiers - Revenus,2.24
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2024,VE000035 - Produits perçus pour le compte de tiers - Revenus,3.69
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2025,VE000035 - Produits perçus pour le compte de tiers - Revenus,4.13
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2023,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2024,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2025,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2023,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2024,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2025,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2023,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2024,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.01
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2025,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2023,VE000035 - Produits perçus pour le compte de tiers - Revenus,
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2024,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2025,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2023,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2024,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2025,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2023,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2024,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2025,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2023,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2024,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2025,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2023,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2024,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2025,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2023,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2024,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2025,VE000035 - Produits perçus pour le compte de tiers - Revenus,0.0
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2023,VE000036 - Coûts des ventes cash (éléments PNE),-39.36
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2024,VE000036 - Coûts des ventes cash (éléments PNE),-44.4
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2025,VE000036 - Coûts des ventes cash (éléments PNE),-43.07
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2023,VE000036 - Coûts des ventes cash (éléments PNE),-48.93
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2024,VE000036 - Coûts des ventes cash (éléments PNE),-30.27
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2025,VE000036 - Coûts des ventes cash (éléments PNE),-49.53
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2023,VE000036 - Coûts des ventes cash (éléments PNE),-67.53
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2024,VE000036 - Coûts des ventes cash (éléments PNE),-53.29
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2025,VE000036 - Coûts des ventes cash (éléments PNE),-88.39
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2023,VE000036 - Coûts des ventes cash (éléments PNE),-3.63
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2024,VE000036 - Coûts des ventes cash (éléments PNE),-5.71
Paris 15,H66IP15281 - 9809-TRI PARI-TRI,R2025,VE000036 - Coûts des ventes cash (éléments PNE),-6.85
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2023,VE000036 - Coûts des ventes cash (éléments PNE),-38.53
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2024,VE000036 - Coûts des ventes cash (éléments PNE),-45.21
Le Havre,H66NTES281 - 0369-TCS QDR-TRI,R2025,VE000036 - Coûts des ventes cash (éléments PNE),-49.22
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2023,VE000036 - Coûts des ventes cash (éléments PNE),0.0
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2024,VE000036 - Coûts des ventes cash (éléments PNE),-14.45
Sevran,H66ISVT281 - U701-SEVRAN-TRI,R2025,VE000036 - Coûts des ventes cash (éléments PNE),-14.66
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2023,VE000036 - Coûts des ventes cash (éléments PNE),-4.45
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2024,VE000036 - Coûts des ventes cash (éléments PNE),-5.47
Chézy,H66RSAL281 - U310-ALLIER-TRI,R2025,VE000036 - Coûts des ventes cash (éléments PNE),-4.86
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2023,VE000036 - Coûts des ventes cash (éléments PNE),-38.41
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2024,VE000036 - Coûts des ventes cash (éléments PNE),-41.31
Portes les Valences,H66RZOS282 - 9171-PORTES VA-TRI,R2025,VE000036 - Coûts des ventes cash (éléments PNE),-43.27
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2023,VE000036 - Coûts des ventes cash (éléments PNE),-12.67
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2024,VE000036 - Coûts des ventes cash (éléments PNE),-21.9
Montpellier,H66SSMT283 - U446-DEMETER-TRI,R2025,VE000036 - Coûts des ventes cash (éléments PNE),-16.24
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2023,VE000036 - Coûts des ventes cash (éléments PNE),-4.25
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2024,VE000036 - Coûts des ventes cash (éléments PNE),-3.93
Millau,H66SSMT284 - U446-ECOTRI-TRI,R2025,VE000036 - Coûts des ventes cash (éléments PNE),-3.41
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2023,VE000036 - Coûts des ventes cash (éléments PNE),-169.11
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2024,VE000036 - Coûts des ventes cash (éléments PNE),-18.37
Bègles,H66SVBM281 - U058-BEGLES-TRI,R2025,VE000036 - Coûts des ventes cash (éléments PNE),-52.0
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2023,VE000044 - Coûts sous-traitance externe d'activité (Propreté),-3.57
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2024,VE000044 - Coûts sous-traitance externe d'activité (Propreté),-6.33
Nantes,H66CAET281 - 9170-CS COUER-TRI,R2025,VE000044 - Coûts sous-traitance externe d'activité (Propreté),-2.95
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2023,VE000044 - Coûts sous-traitance externe d'activité (Propreté),-20.55
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2024,VE000044 - Coûts sous-traitance externe d'activité (Propreté),-0.77
Saran,"H66CORT282 - U487-TRI IF43-TRI,",R2025,VE000044 - Coûts sous-traitance externe d'activité (Propreté),-1.68
Amiens,H66HTVP281 - U397-TRI CS AM-TRI,R2023,VE000044 - Coûts sous-traitance externe d'activité (Propreté),-59.49
